title,description,link,query
4월부터 비행기표 비싸진다… 유류할증료 최대 20만4000원 인상 - 스카이데일리,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTFB3eC1ZOGpoSkZFMS1EdElEcDdiZzVhOHFjdFAza3lrT1h5alMwZG1zSFNWVDNVaW1ibnptWUgxWUh5Nm80NXRMamdPR184VzJreTJycXR0WlZraFRJ?oc=5"" target=""_blank"">4월부터 비행기표 비싸진다… 유류할증료 최대 20만4000원 인상</a>&nbsp;&nbsp;<font color=""#6f6f6f"">스카이데일리</font>",https://news.google.com/rss/articles/CBMiXEFVX3lxTFB3eC1ZOGpoSkZFMS1EdElEcDdiZzVhOHFjdFAza3lrT1h5alMwZG1zSFNWVDNVaW1ibnptWUgxWUh5Nm80NXRMamdPR184VzJreTJycXR0WlZraFRJ?oc=5,비행기
뉴욕 라과디아 공항에서 항공기·소방차 충돌…2명 사망 - 조선일보,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPUmd2WVhRaXhCWmNUdl9oaG5BdXc3Y0JselZPQU56MFBnUVBIN05FTGVKeHZfMklMd2xWODExVWk2RC1IcVZLZzAxVjhXS0Q0WTRUY1VDWmRJQmp1YWFJT1lWOElXOVljQWNDbzg1U3N5amowckk4andjcFVpZTVlQkFQeXJjQzU3YTY2WVA0c2xKTTJVTDllY0VKUzFTQdIBsgFBVV95cUxQVndXbFUxZ0NZUG4xTmEtQTE3Yzc1bHRfQ1g2NVJTd2xqaVBfWElZV1lEZ0dwWEJkWUNEeE5lVU44aXdrY1g3T0N0NEtidnZGdGVuWmktclFsNVk2dXdMeWpwRmNFNXdkUXpSRzZ1R1ZkQTJsNC1fR3FEZXFlcGVfcWJ1U1BGeTZCdDJOYk5QN3hJRktnTWVBQjJTZjR6R0F5N1ROTGJjRkZqcklmeXd0TUlB?oc=5"" target=""_blank"">뉴욕 라과디아 공항에서 항공기·소방차 충돌…2명 사망</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선일보</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxPUmd2WVhRaXhCWmNUdl9oaG5BdXc3Y0JselZPQU56MFBnUVBIN05FTGVKeHZfMklMd2xWODExVWk2RC1IcVZLZzAxVjhXS0Q0WTRUY1VDWmRJQmp1YWFJT1lWOElXOVljQWNDbzg1U3N5amowckk4andjcFVpZTVlQkFQeXJjQzU3YTY2WVA0c2xKTTJVTDllY0VKUzFTQdIBsgFBVV95cUxQVndXbFUxZ0NZUG4xTmEtQTE3Yzc1bHRfQ1g2NVJTd2xqaVBfWElZV1lEZ0dwWEJkWUNEeE5lVU44aXdrY1g3T0N0NEtidnZGdGVuWmktclFsNVk2dXdMeWpwRmNFNXdkUXpSRzZ1R1ZkQTJsNC1fR3FEZXFlcGVfcWJ1U1BGeTZCdDJOYk5QN3hJRktnTWVBQjJTZjR6R0F5N1ROTGJjRkZqcklmeXd0TUlB?oc=5,비행기
“위탁수화물에 보조배터리 넣으면 안되는데…” 비행기 1편당 1명꼴 적발 - 문화일보,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE82Q2JUbm52OXRpeXVuNGtwSXdSdHl2LWwxMVp3X3I0OHR3emR1TkhyQ0hkWUxsc281OXc0SXFYcWt4QTFTSERJX09mOEtza1VQ?oc=5"" target=""_blank"">“위탁수화물에 보조배터리 넣으면 안되는데…” 비행기 1편당 1명꼴 적발</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTE82Q2JUbm52OXRpeXVuNGtwSXdSdHl2LWwxMVp3X3I0OHR3emR1TkhyQ0hkWUxsc281OXc0SXFYcWt4QTFTSERJX09mOEtza1VQ?oc=5,비행기
"“비행기값보다 기름값 먼저”… 뉴욕 60만 원, 봄 성수기 앞 항공권 흔들렸다 - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTFBGa0xpUFlubUVSLWZxTDJmckxiVVhnLWFyNTZPU0R3YWFjSDJrTUZ2M3hVSzBZN0JoaGpiMGRNYWNidVp6M1RFeVpMTEVGRjg?oc=5"" target=""_blank"">“비행기값보다 기름값 먼저”… 뉴욕 60만 원, 봄 성수기 앞 항공권 흔들렸다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBGa0xpUFlubUVSLWZxTDJmckxiVVhnLWFyNTZPU0R3YWFjSDJrTUZ2M3hVSzBZN0JoaGpiMGRNYWNidVp6M1RFeVpMTEVGRjg?oc=5,비행기
"경찰, 비행기값 부풀리기 의혹 인천 기초의원 등 24명 검찰 송치 - 인천투데이","<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE02ZC1tVlVHOGwwQTR0UGFDRVljMU5GOFVZczZzNm5yaEdRQVVMaEttbXBCQ0FvcW9uM2xqY0VHOUxlN3dNbE5UYlNZczdGak1LcU9LLURBX2IwM2ROX08yLUdPbVNnR0R5MHlPVmNVbUQ?oc=5"" target=""_blank"">경찰, 비행기값 부풀리기 의혹 인천 기초의원 등 24명 검찰 송치</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인천투데이</font>",https://news.google.com/rss/articles/CBMicEFVX3lxTE02ZC1tVlVHOGwwQTR0UGFDRVljMU5GOFVZczZzNm5yaEdRQVVMaEttbXBCQ0FvcW9uM2xqY0VHOUxlN3dNbE5UYlNZczdGak1LcU9LLURBX2IwM2ROX08yLUdPbVNnR0R5MHlPVmNVbUQ?oc=5,비행기
'비행기 세리머니' 한국의 8강 진출…WBC 주요 이야기로 선정 - 뉴스1,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE1nZnZPS0xYYlU5U3Jtb0lHRGFrYXlCR2RNcERuNVh4bXlNTmZ6S3RNdWwxUkxDZmJ6RG8wV0h4SzdYNWdQOFlESW9vUTczbXdZRjg5Tmczdw?oc=5"" target=""_blank"">'비행기 세리머니' 한국의 8강 진출…WBC 주요 이야기로 선정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>",https://news.google.com/rss/articles/CBMiV0FVX3lxTE1nZnZPS0xYYlU5U3Jtb0lHRGFrYXlCR2RNcERuNVh4bXlNTmZ6S3RNdWwxUkxDZmJ6RG8wV0h4SzdYNWdQOFlESW9vUTczbXdZRjg5Tmczdw?oc=5,비행기
"유류할증료도 3배 인상 예고…""비행기 타기 부담"" - 연합뉴스","<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE9UdWpiZGRrSnpCeFhCLUZNU0dodkxJeVg4M1VtbXdTODRpcGdZQ3JKd0tISkFzOW9zNkJWYkg3YlQzRWJ3dzVITWF1YTRfSWd2TlhNQ1MzQ2lqd1nSAWBBVV95cUxONmxMX1hWMlZSbC1OUzN4VzFqZGZBUFlUclFObGQtd3AtRmlXRkhUSWdRUFlZbE04TlRmLUF1WTExRzFsNnlRQW1YQURYdkFCdUE4WkkzR3NBZEYxN1gwQjc?oc=5"" target=""_blank"">유류할증료도 3배 인상 예고…""비행기 타기 부담""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9UdWpiZGRrSnpCeFhCLUZNU0dodkxJeVg4M1VtbXdTODRpcGdZQ3JKd0tISkFzOW9zNkJWYkg3YlQzRWJ3dzVITWF1YTRfSWd2TlhNQ1MzQ2lqd1nSAWBBVV95cUxONmxMX1hWMlZSbC1OUzN4VzFqZGZBUFlUclFObGQtd3AtRmlXRkhUSWdRUFlZbE04TlRmLUF1WTExRzFsNnlRQW1YQURYdkFCdUE4WkkzR3NBZEYxN1gwQjc?oc=5,비행기
“90m 차이로 참사 면했다” 美공항 ‘교차 착륙’ 비행기 충돌할 뻔 - 동아일보,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTFA3Mi0xNnI1QTFsMVRJMEh0bWs2ZXZrcHZYaFJxQWpZUW55aGI4cWJpQnhDZ3l4LTZhV0hBaU9RWFhNdWxMY1lqRlg3UE5Jc1pFVzIyNVlqZmxSNUlPRFJZMWh3TWJKQdIBZkFVX3lxTFA3Mi0xNnI1QTFsMVRJMEh0bWs2ZXZrcHZYaFJxQWpZUW55aGI4cWJpQnhDZ3l4LTZhV0hBaU9RWFhNdWxMY1lqRlg3UE5Jc1pFVzIyNVlqZmxSNUlPRFJZMWh3TWJKQQ?oc=5"" target=""_blank"">“90m 차이로 참사 면했다” 美공항 ‘교차 착륙’ 비행기 충돌할 뻔</a>&nbsp;&nbsp;<font color=""#6f6f6f"">동아일보</font>",https://news.google.com/rss/articles/CBMiZkFVX3lxTFA3Mi0xNnI1QTFsMVRJMEh0bWs2ZXZrcHZYaFJxQWpZUW55aGI4cWJpQnhDZ3l4LTZhV0hBaU9RWFhNdWxMY1lqRlg3UE5Jc1pFVzIyNVlqZmxSNUlPRFJZMWh3TWJKQdIBZkFVX3lxTFA3Mi0xNnI1QTFsMVRJMEh0bWs2ZXZrcHZYaFJxQWpZUW55aGI4cWJpQnhDZ3l4LTZhV0hBaU9RWFhNdWxMY1lqRlg3UE5Jc1pFVzIyNVlqZmxSNUlPRFJZMWh3TWJKQQ?oc=5,비행기
"기름값 아끼려 비행기도 ""가득 급유"" …하늘길 전략 바뀐다 - MTN 머니투데이방송","<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE10U2ZQSWpvOGZTVXF0dHFveDZZTzN0ZU1ob2Z4aXhuRGkyTmIzRi1LSk12ZGtSbGV6c1NmRlJFQkVQSmtHbmxMdzhRVlBKYkFPa2VhaXNmTnE4UUJfV3dBSmtzel8?oc=5"" target=""_blank"">기름값 아끼려 비행기도 ""가득 급유"" …하늘길 전략 바뀐다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MTN 머니투데이방송</font>",https://news.google.com/rss/articles/CBMiZEFVX3lxTE10U2ZQSWpvOGZTVXF0dHFveDZZTzN0ZU1ob2Z4aXhuRGkyTmIzRi1LSk12ZGtSbGV6c1NmRlJFQkVQSmtHbmxMdzhRVlBKYkFPa2VhaXNmTnE4UUJfV3dBSmtzel8?oc=5,비행기
"항공유 폭등, 올여름 휴가 비행기값 어쩌나 - bntnews.co.kr","<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE1TVlJRMWlCSEdUWHdTRlNXQ2J5Q0lxOXJUQUQxZlZPN1hGSU1aejhtQlh6LUhzWklhOEs3YzJNV0tRcjByam5mQmxscWkxMEIwOE1hS29Ob3BXQXpvSG1zVXpmdHc?oc=5"" target=""_blank"">항공유 폭등, 올여름 휴가 비행기값 어쩌나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">bntnews.co.kr</font>",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1TVlJRMWlCSEdUWHdTRlNXQ2J5Q0lxOXJUQUQxZlZPN1hGSU1aejhtQlh6LUhzWklhOEs3YzJNV0tRcjByam5mQmxscWkxMEIwOE1hS29Ob3BXQXpvSG1zVXpmdHc?oc=5,비행기
